problem	domain	status	vampire_s
GRP496-1	GRP	Unsatisfiable	0.00
GRP497-1	GRP	Unsatisfiable	0.02
GRP532-1	GRP	Unsatisfiable	0.01
GRP566-1	GRP	Unsatisfiable	0.01
GRP584-1	GRP	Unsatisfiable	0.01
GRP604-1	GRP	Unsatisfiable	0.04
GRP639+1	GRP	Theorem	0.02
GRP647+1	GRP	Theorem	0.57
GRP659-10	GRP	Unsatisfiable	0.45
GRP665-11	GRP	Unsatisfiable	0.01
GRP683-10	GRP	Unsatisfiable	0.19
GRP698-1	GRP	Unsatisfiable	0.24
GRP700-10	GRP	Unsatisfiable	0.23
GRP703+1	GRP	Theorem	0.03
GRP708-1	GRP	Unsatisfiable	0.16
GRP767-1	GRP	Unsatisfiable	0.81
GRP775+1	GRP	Theorem	0.13
ITP020+1	ITP	Theorem	0.13
KRS076+1	KRS	Unsatisfiable	0.01
KRS087+1	KRS	Unsatisfiable	0.01
KRS090+1	KRS	Unsatisfiable	0.01
KRS098+1	KRS	Unsatisfiable	0.01
KRS104+1	KRS	Unsatisfiable	0.01
KRS122+1	KRS	Unsatisfiable	0.01
KRS143+1	KRS	Theorem	0.01
LAT005-2	LAT	Unsatisfiable	0.25
LAT086-1	LAT	Unsatisfiable	0.34
LAT091-1	LAT	Unsatisfiable	0.24
LAT260-2	LAT	Unsatisfiable	0.01
LAT266-2	LAT	Unsatisfiable	0.01
LAT269-2	LAT	Unsatisfiable	0.11
LAT272-2	LAT	Unsatisfiable	0.01
LAT327+1	LAT	Theorem	0.02
LAT343+1	LAT	Theorem	0.31
LAT374+1	LAT	Theorem	0.37
LAT378+1	LAT	Theorem	0.31
LAT380+1	LAT	Theorem	0.32
LAT381+1	LAT	Theorem	0.11
LAT382+1	LAT	Theorem	0.11
LAT385+4	LAT	Theorem	0.01
LAT387+4	LAT	Theorem	0.22
LCL007-1	LCL	Unsatisfiable	0.01
LCL035-1	LCL	Unsatisfiable	0.01
LCL066-1	LCL	Unsatisfiable	0.01
LCL087-1	LCL	Unsatisfiable	0.01
LCL398-1	LCL	Unsatisfiable	0.01
LCL640+1.001	LCL	Theorem	0.05
LCL642+1.015	LCL	Theorem	0.04
LCL660+1.015	LCL	Theorem	0.07
LCL676+1.020	LCL	Theorem	0.26
LCL686+1.015	LCL	Theorem	0.01
LCL748-1	LCL	Unsatisfiable	0.18
LCL779-1	LCL	Unsatisfiable	0.01
LCL830-1	LCL	Unsatisfiable	0.28
LCL838-1	LCL	Unsatisfiable	0.26
LCL852-1	LCL	Unsatisfiable	0.31
LCL853-1	LCL	Unsatisfiable	0.01
LCL899+1	LCL	Theorem	0.22
MGT004+1	MGT	Theorem	0.01
MGT009-1	MGT	Unsatisfiable	0.01
MGT010+1	MGT	Theorem	0.01
MGT011-1	MGT	Unsatisfiable	0.01
MGT014-1	MGT	Unsatisfiable	0.01
MGT016+1	MGT	Theorem	0.01
MGT018-1	MGT	Unsatisfiable	0.01
MGT023+1	MGT	Theorem	0.01
MGT029+1	MGT	Theorem	0.14
MGT030+1	MGT	Theorem	0.01
MGT030-1	MGT	Unsatisfiable	0.21
MGT035-1	MGT	Unsatisfiable	0.15
MGT036+3	MGT	Theorem	0.01
MGT039-1	MGT	Unsatisfiable	0.16
NUM395+1	NUM	Theorem	0.01
NUM396+1	NUM	Theorem	0.11
NUM404+1	NUM	Theorem	0.02
NUM409+1	NUM	Theorem	0.01
NUM431+1	NUM	Theorem	0.46
NUM434+1	NUM	Theorem	0.26
NUM460+1	NUM	Theorem	0.45
NUM462+2	NUM	Theorem	0.73
NUM464+1	NUM	Theorem	0.02
NUM467+2	NUM	Theorem	0.74
NUM473+1	NUM	Theorem	0.58
NUM505+3	NUM	Theorem	0.01
NUM510+3	NUM	Theorem	0.47
NUM541+2	NUM	Theorem	0.04
NUM544+2	NUM	Theorem	0.02
NUM551+3	NUM	Theorem	0.01
NUM554+3	NUM	Theorem	0.14
NUM556+1	NUM	Theorem	0.23
NUM556+3	NUM	Theorem	0.13
NUM564+1	NUM	Theorem	0.04
NUM586+3	NUM	Theorem	0.14
NUM588+3	NUM	Theorem	0.01
NUM609+1	NUM	Theorem	0.01
NUM613+1	NUM	Theorem	0.07
NUM631+3	NUM	Theorem	0.67
NUM632+3	NUM	Theorem	0.01
NUM633+1	NUM	Theorem	0.01
NUM835+2	NUM	Theorem	0.22
NUM844+2	NUM	Theorem	0.01
NUM858+1	NUM	Theorem	0.14
NUM924+1	NUM	ContradictoryAxioms	0.11
PLA031-1.004	PLA	Unsatisfiable	0.55
PRO011+3	PRO	Theorem	0.02
PRO012+3	PRO	Theorem	0.07
PRO017+2	PRO	Theorem	0.09
PUZ005+1	PUZ	Theorem	0.01
PUZ010-1	PUZ	Unsatisfiable	0.13
PUZ016-2.005	PUZ	Unsatisfiable	0.12
PUZ029-1	PUZ	Unsatisfiable	0.00
RNG038-2	RNG	Unsatisfiable	0.01
RNG103+1	RNG	Theorem	0.44
RNG103+2	RNG	Theorem	0.46
RNG112+1	RNG	Theorem	0.12
RNG119+4	RNG	Theorem	0.22
RNG123+1	RNG	ContradictoryAxioms	0.06
SET015-4	SET	Unsatisfiable	0.13
SET027+3	SET	Theorem	0.00
SET194+3	SET	Theorem	0.01
SET607+3	SET	Theorem	0.22
SET615+3	SET	Theorem	0.21
SET634+3	SET	Theorem	0.21
SET662+3	SET	Theorem	0.01
SET671+3	SET	Theorem	0.22
SET788+1	SET	Theorem	0.01
SET826-2	SET	Unsatisfiable	0.01
SET827-2	SET	Unsatisfiable	0.00
SET848-2	SET	Unsatisfiable	0.01
SET854-2	SET	Unsatisfiable	0.36
SET857-2	SET	Unsatisfiable	0.23
SET858-2	SET	Unsatisfiable	0.01
SET862-2	SET	Unsatisfiable	0.02
SET884+1	SET	Theorem	0.01
SET889+1	SET	Theorem	0.01
SET890+1	SET	Theorem	0.02
SET902+1	SET	Theorem	0.01
SET906+1	SET	Theorem	0.01
SET907+1	SET	Theorem	0.01
SET931+1	SET	Theorem	0.01
SET933+1	SET	Theorem	0.01
SET935+1	SET	Theorem	0.07
SET936+1	SET	Theorem	0.23
SET968+1	SET	Theorem	0.07
SET969+1	SET	Theorem	0.26
SEU012+1	SEU	Theorem	0.08
SEU019+1	SEU	Theorem	0.02
SEU025+1	SEU	Theorem	0.02
SEU037+1	SEU	Theorem	0.01
SEU056+1	SEU	Theorem	0.01
SEU085+1	SEU	Theorem	0.01
SEU132+1	SEU	Theorem	0.02
SEU132+2	SEU	Theorem	0.15
SEU141+1	SEU	Theorem	0.05
SEU144+2	SEU	Theorem	0.01
SEU166+3	SEU	Theorem	0.22
SEU168+3	SEU	Theorem	0.61
SEU184+1	SEU	Theorem	0.33
SEU200+1	SEU	Theorem	0.01
SEU213+1	SEU	Theorem	0.43
SEU214+1	SEU	Theorem	0.49
SEU223+1	SEU	Theorem	0.01
SEU223+2	SEU	Theorem	0.20
SEU228+1	SEU	Theorem	0.04
SEU238+3	SEU	Theorem	0.02
SEU241+2	SEU	Theorem	0.42
SEU257+1	SEU	Theorem	0.01
SEU257+2	SEU	Theorem	0.42
SEU281+1	SEU	Theorem	0.02
SEU294+3	SEU	Theorem	0.01
SEU301+1	SEU	Theorem	0.16
SEU317+1	SEU	Theorem	0.11
SEU326+1	SEU	Theorem	0.01
SEU327+1	SEU	Theorem	0.02
SEU328+1	SEU	Theorem	0.02
SEU329+1	SEU	Theorem	0.21
SEU342+1	SEU	Theorem	0.86
SEU350+1	SEU	Theorem	0.04
SEU359+2	SEU	Theorem	0.43
SEU363+1	SEU	Theorem	0.22
SEU371+1	SEU	Theorem	0.22
SEU387+1	SEU	Theorem	0.03
SEV515+1	SEV	Theorem	0.01
SWB014+2	SWB	Theorem	0.01
SWB018+2	SWB	Theorem	0.01
SWB019+2	SWB	Unsatisfiable	0.01
SWB021+2	SWB	Theorem	0.90
SWB027+2	SWB	Theorem	0.02
SWV237+1	SWV	Theorem	0.11
SWV263-2	SWV	Unsatisfiable	0.00
SWV265-2	SWV	Unsatisfiable	0.01
SWV295-2	SWV	Unsatisfiable	0.01
SWV309-2	SWV	Unsatisfiable	0.01
SWV327-2	SWV	Unsatisfiable	0.12
SWV328-2	SWV	Unsatisfiable	0.01
SWV337-2	SWV	Unsatisfiable	0.01
SWV356-2	SWV	Unsatisfiable	0.00
SWV357-2	SWV	Unsatisfiable	0.01
SWV424-1.200	SWV	Unsatisfiable	0.78
SWV491+3	SWV	Theorem	0.14
SWV492+1	SWV	Theorem	0.14
SWV537-1.007	SWV	Unsatisfiable	0.15
SWV570-1.043	SWV	Unsatisfiable	0.13
SWV689-1	SWV	Unsatisfiable	0.02
SWV768-1	SWV	Unsatisfiable	0.03
SWV790-1	SWV	Unsatisfiable	0.01
SWV800-1	SWV	Unsatisfiable	0.11
SWV815-1	SWV	Unsatisfiable	0.90
SWV824-1	SWV	Unsatisfiable	0.02
SWV849-1	SWV	Unsatisfiable	0.02
SWV866-1	SWV	Unsatisfiable	0.00
SWV898-1	SWV	Unsatisfiable	0.02
SWV904-1	SWV	Unsatisfiable	0.01
SWV910-1	SWV	Unsatisfiable	0.29
SWX203+1	SWX	Theorem	0.02
SYN004-1.007	SYN	Unsatisfiable	0.01
SYN029-1	SYN	Unsatisfiable	0.01
SYN040+1	SYN	Theorem	0.00
SYN051+1	SYN	Theorem	0.00
SYN053-1	SYN	Unsatisfiable	0.01
SYN065-1	SYN	Unsatisfiable	0.01
SYN067+1	SYN	Theorem	0.01
SYN067-2	SYN	Unsatisfiable	0.01
SYN070-1	SYN	Unsatisfiable	0.01
SYN081-1	SYN	Unsatisfiable	0.00
SYN319-1	SYN	Unsatisfiable	0.01
SYN336+1	SYN	Theorem	0.00
SYN338+1	SYN	Theorem	0.01
SYN395+1	SYN	Theorem	0.01
SYN407+1	SYN	Theorem	0.02
SYN408+1	SYN	Theorem	0.00
SYN462-1	SYN	Unsatisfiable	0.13
SYN484+1	SYN	Theorem	0.13
SYN489+1	SYN	Theorem	0.14
SYN502+1	SYN	Theorem	0.13
SYN508+1	SYN	Theorem	0.15
SYN508-1	SYN	Unsatisfiable	0.15
SYN572-1	SYN	Unsatisfiable	0.23
SYN575-1	SYN	Unsatisfiable	0.02
SYN586-1	SYN	Unsatisfiable	0.01
SYN595-1	SYN	Unsatisfiable	0.02
SYN620-1	SYN	Unsatisfiable	0.01
SYN648-1	SYN	Unsatisfiable	0.01
SYN650-1	SYN	Unsatisfiable	0.40
SYN663-1	SYN	Unsatisfiable	0.01
SYN718-1	SYN	Unsatisfiable	0.35
SYN727+1	SYN	Theorem	0.01
SYN755-1	SYN	Unsatisfiable	0.03
SYN880-1	SYN	Unsatisfiable	0.12
SYN923+1	SYN	Theorem	0.00
SYN937+1	SYN	Theorem	0.00
SYO525+1.027	SYO	Theorem	0.65
SYO658-1	SYO	Unsatisfiable	0.03
SYO670-1	SYO	Unsatisfiable	0.21
TOP042+1	TOP	Theorem	0.45
